id,name,Food Group,Images,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Cholesterol (mg),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),"Vitamin A, IU (IU)",Serving Weight 1 (g),Serving Description 1 (g),Column1
168613,Braised Beef Shortribs,Meats,https://austin-eats.com/wp-content/uploads/braised-short-ribs.jpg,471,41.98,21.57,0,0,0,94,17.8,12,2.31,224,15,0,85,3 oz,
168616,Broiled Beef Round,Meats,https://www.certifiedangusbeef.com/_next/image?url=https%3A%2F%2Fappetizing-cactus-7139e93734.media.strapiapp.com%2FClassic_Marinated_London_Broil_f8b56827df.jpeg&w=1200&q=75,191,7.31,29.21,0,0,0,78,2.56,5,2.7,422,28,0,85,3 oz,
168643,Grilled T-Bone Steak,Meats,https://www.seriouseats.com/thmb/JL0yUAZQpCu-fTYsnxMsSK3_L7E=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/perfect-grilled-t-bone-steak-recipe-hero-2-dd8dc532e6ab4070bb8db65f1f3f0d30.jpg,212,10.37,27.86,0,0,0,82,4.219,18,3.57,290,21,6,85,3 oz,
168649,Grilled Top Round Steak,Meats,https://mlbigjgmxvf5.i.optimole.com/w:auto/h:auto/q:100/f:best/ig:avif/https://blog.zgrills.com/wp-content/uploads/2022/06/grilled-top-round-steak.jpg,162,3.77,30.09,0,0,0,86,1.556,18,3.25,435,17,9,85,3 oz,
168651,Beef Ground 70% Lean Meat / 30% Fat Patty Cooked Broiled,Meats,https://images.eatthismuch.com/img/5423_J1elxtrx_1129c28d-4e28-446b-9477-fa6437b264b7.jpeg,277,18.66,25.38,0,0,0,88,7.344,35,2.25,275,19,9,85,3 oz,
168654,Top Blade Chuck Steak,Meats,https://lakegenevacountrymeats.com/wp-content/uploads/Grilled-Top-Blade-Steak-1024x683.jpg,196,9.23,28.15,0,0,0,95,3.771,14,3.14,390,23,6,85,3 oz,
169429,Lean Grass Fed Beef Strip Steak,Meats,https://blog.whiteoakpastures.com/hs-fs/hubfs/Grassfed%20ribeye%20steak.jpg?width=1613&name=Grassfed%20ribeye%20steak.jpg,117,2.69,23.07,0,0,0,55,1.032,9,1.85,342,23,0,85,3 oz,
169457,Broiled Sirloin Strip Steak,Meats,https://redmeatlover.com/wp-content/uploads/2018/06/RML_Steak_Broiled-5-600x400.jpg,212,9.67,29.33,0,0,0,88,3.754,22,1.89,368,25,0,85,3 oz,
169474,Beef Ground 70% Lean Meat / 30% Fat Loaf Cooked Baked,Meats,https://cookthestory.com/wp-content/uploads/2019/02/how-to-cook-ground-beef-990.jpg,241,15.37,23.87,0,0,0,88,6.073,33,2.27,241,17,9,85,3 oz,
169511,Prime Rib Steak,Meats,https://meateatingmilitaryman.com/wp-content/uploads/2023/02/Dutch-Oven-Prime-Rib.jpg,341,27.14,22.54,0,NULL,0,83,10.92,13,2.42,324,20,0,85,3 oz,
169531,London Broil,Meats,https://www.thespruceeats.com/thmb/DVlHBcYJ8ir6HXhOSvRt7INMwFU=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/london-broil-recipe-101017-hero-01-8d9187c880ba4537ac4a715e56d35ff2.jpg,204,9,30.67,0,0,0,90,3.415,7,2.53,252,20,0,85,3 oz,
170602,Beef Cured Corned Beef Canned,Meats,https://www.chowhound.com/img/gallery/what-exactly-is-canned-corned-beef-the-best-things-to-make-with-it/intro-1704992886.webp,250,14.93,27.1,0,0,0,86,6.18,12,2.08,136,14,0,28.4,1 oz,
170607,Cured Smoked Beef,Meats,https://carnediem.blog/wp-content/uploads/2023/05/Beef-Tongue-Pastrami-20.jpg,133,4.42,20.19,1.86,NULL,0,46,1.81,8,2.85,377,21,0,28,1 slice (1 oz),
170615,Beef Chuck Pot Roast,Meats,https://www.seriouseats.com/thmb/DYwd0Ylsbz07B8mJ1qQ0Ho3ZCxQ=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/__opt__aboutcom__coeus__resources__content_migration__serious_eats__seriouseats.com__recipes__images__2012__12__20121211-232970-cook-the-book-pot-roast-root-vegetables-62115d873ee14de19b2332df998c42ad.jpg,212,7.67,33.36,0,0,0,100,2.903,14,2.89,262,22,0,85,3 oz,
170626,Braised Cube Steak,Meats,https://static01.nyt.com/images/2014/06/05/dining/Braised-Cube-Steak/Braised-Cube-Steak-jumbo.jpg?quality=75&auto=webp,223,8.86,33.56,0,0,0,95,3.184,8,2.72,271,22,0,85,3 oz,
170641,Grilled Beef Tenderloin Steak,Meats,https://lakegenevacountrymeats.com/wp-content/uploads/Grilled-Tenderloin-Filet-1024x620.jpg,198,8.32,30.7,0,0,0,93,3.296,15,3.59,390,20,5,85,3 oz,
171054,Chicken Broilers Or Fryers Meat Only Roasted,Meats,https://www.thespruceeats.com/thmb/psFy5NjdeBiqNX2uTaR9RWgUm1c=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/roast-chicken-dinner-topped-with-thyme-155361947-588d082f5f9b5874eef7bc24.jpg,190,7.41,28.93,0,0,0,89,2.04,15,1.21,243,25,53,140,"1 cup, chopped or diced",
171089,Turkey From Whole Light Meat Meat And Skin Cooked Roasted,Meats,https://images.eatthismuch.com/img/551_alicehorton_a6fb66f8-6483-4d15-874c-9eb07f663aab.png,177,5.57,29.55,0.05,0,0,89,1.603,11,0.8,248,32,35,85,1 serving,
171103,Turkey Sticks Breaded Battered Fried,Meats,https://www.thespruceeats.com/thmb/cqbQHbBt-gYw5Uhi2O-Pus8Hb6I=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/country-fried-turkey-recipe-5201781-hero-01-55479a3b99454c7ca84c116bae16b497.jpg,279,16.9,14.2,17,NULL,NULL,64,4.38,14,2.2,260,15,40,64,1 stick (2.25 oz),
171109,Chicken Cornish Game Hens Meat Only Cooked Roasted,Meats,https://jenniferbanz.com/wp-content/uploads/2021/09/how-to-cook-cornish-hens-image-2-1365x2048.jpg,134,3.87,23.3,0,0,0,106,0.99,13,0.77,250,19,65,85,3 oz,
171114,Chicken Broiler Rotisserie BBQ Drumstick Meat Only,Meats,https://www.simplyrecipes.com/thmb/4Po2MVT3pmasMAKkGUzOsqgXV5o=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/__opt__aboutcom__coeus__resources__content_migration__simply_recipes__uploads__2016__10__2016-10-26-OvenBBQChicken-7-af966bad06234540ab5e119bae1802b1.jpg,172,6.76,27.71,0,0,0,155,1.573,20,1.05,291,23,33,71,1 drumstick,
171117,Chicken Ground Crumbles Cooked Pan-Browned,Meats,https://www.howtocook.recipes/wp-content/uploads/2021/04/Ground-beef-recipe.jpg,189,10.92,23.28,0,0,0,107,3.11,8,0.93,677,28,0,85,3 oz crumbled,
171203,Braised Beef Or Chuck Stew,Meats,https://static01.nyt.com/images/2024/03/12/multimedia/VL-bourbon-braised-beef-lighter-wjmf/VL-bourbon-braised-beef-lighter-wjmf-threeByTwoMediumAt2X.jpg?quality=75&auto=webp,191,6.82,32.41,0,0,0,99,2.8,16,2.96,319,23,6,85,3 oz,
171479,Roasted Turkey,Meats,https://www.inspiredtaste.net/wp-content/uploads/2023/11/Roasted-Turkey-Recipe-1-1200.jpg,189,7.39,28.55,0.06,0,0,109,2.155,14,1.09,239,30,39,85,3 oz,
171530,Roasted Turkey Drumstick,Meats,https://static01.nyt.com/images/2014/04/02/dining/Roasted-Turkey-Drumsticks/Roasted-Turkey-Drumsticks-jumbo.jpg?quality=75&auto=webp,139,2.08,30.13,0,0,0,80,0.593,9,0.71,249,32,11,85,3 oz,
171532,Roasted Turkey Thigh,Meats,https://www.thespruceeats.com/thmb/dYyVOBL3TAIcpMb2JPSoOkDmgMw=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/roasted-turkey-thighs-483398-Hero-5b903c38c9e77c00508f9d24.jpg,165,6.04,27.71,0,0,0,128,1.807,17,1.43,227,27,18,85,3 oz,
171639,Turkey Bacon Microwaved,Meats,https://recipethis.com/wp-content/uploads/microwave-turkey-bacon-1152x1536.jpg,368,25.87,29.5,4.24,4.24,0,153,6.933,163,2.63,666,30,63,8.1,1 slice,
172012,Beef Baloney (Bologna),Meats,https://onestophalal.com/cdn/shop/articles/beef_bologna-1690762295580_1200x.jpg?v=1691101558,299,26.13,10.91,4.29,2.05,0,57,10.487,21,1.29,351,13,90,30,1 slice,
172161,Beef Ground Unspecified Fat Content Cooked,Meats,https://www.eatthis.com/wp-content/uploads/sites/4/2020/11/ground-beef.jpg?quality=82&strip=1&w=1250,240,14.53,25.07,0.62,0,0,84,5.6,25,2.67,353,22,22,85,3 oz,
172409,Duck Domesticated Meat And Skin Cooked Roasted,Meats,https://thevirginiasportsman.com/wp-content/uploads/2022/09/GettyImages-1161590860.jpg,337,28.35,18.99,0,0,0,84,9.67,11,2.7,204,16,210,140,"1 cup, chopped or diced",
172411,Roast Duck,Meats,"https://assets.epicurious.com/photos/5c93f15d7903444d883ded50/1:1/w_960,c_limit/Crisp-Roast-Duck-19032019.jpg",201,11.2,23.48,0,0,0,89,3.951,12,2.7,252,20,77,140,"1 cup, chopped or diced",
